"sourcedb","SiteName","LabCode","C14Age","C14SD","db_period","db_culture","Period","lon","lat","colors","median","tpq","taq"
"calpal","Sha'ar Hagolan","RTT-5482",7535,50,"Neolithic",NA,"UN",35.61,32.68,NA,-6453,-6104,-6590
"calpal","Barcin","PSUAMS-2299",7455,30,"Neolithic",NA,"UN",29.53,40.21,NA,-6392,-6095,-6437
"calpal","Sha'ar Hagolan","RTT-5486",7785,50,"Neolithic",NA,"UN",35.61,32.68,NA,-6697,-6436,-7031
"calpal","Hlebozavoda","Bln-2237",6540,55,"Neolithic",NA,"UN",26,42.4833,NA,-5603,-5232,-5660
"calpal","Asikli Höyük","AA-87960",8780,40,"Neolithic",NA,"UN",34.2295,38.3497,NA,-8120,-7595,-8222
"calpal","Nevalı Çori","OxA-8247",8610,90,"Neolithic",NA,"UN",38.65,37.58,NA,-7919,-7329,-8226
"calpal","Nevalı Çori","OxA-8303",9280,55,"Neolithic",NA,"UN",38.65,37.58,NA,-8630,-8283,-8795
"calpal","Les Fontinettes","Lyon-3577",6145,40,"Neolithic",NA,"UN",3.75,49.38,NA,-5201,-4845,-5303
"calpal","Nevalı Çori","OxA-8382",8990,90,"Neolithic",NA,"UN",38.65,37.58,NA,-8317,-7602,-8605
"calpal","Seker al-Aheimar","TKa-13618",8050,50,"Neolithic",NA,"UN",40.29,36.66,NA,-7124,-6650,-7324
"calpal","Seker al-Aheimar","TKa-13619",7990,45,"Neolithic",NA,"UN",40.29,36.66,NA,-7034.05,-6645,-7137
"calpal","Asikli Höyük","AA-87981",8570,40,"Neolithic",NA,"UN",34.2295,38.3497,NA,-7662,-7480,-7755
"calpal","Sabi Abyad","GrA-32056",7760,50,"Neolithic",NA,"UN",39.1,36.53,NA,-6663,-6428,-7018
"calpal","CanHasan III","BM-1657R",8080,130,"Neolithic",NA,"UN",33.37,37.25,NA,-7376,-6464,-7581
"calpal","Téviec","OxA-10963",6515,45,"Neolithic",NA,"UN",-3.16,47.56,NA,-5556,-5237,-5625
"calpal","Servia-Varytimidhes","BM-1104",6747,51,"Neolithic",NA,"UN",21.9751,40.233,NA,-5717,-5479,-5838
"calpal","Mtlili 5","KIA-31001",6020,40,"Neolithic",NA,"UN",-2.5476,34.9414,NA,-4999.05,-4717,-5206
"calpal","Sabi Abyad","GrA-42900",7475,50,"Neolithic",NA,"UN",39.1,36.53,NA,-6418,-6080,-6473
"calpal","CanHasan III","BM-1664R",8470,140,"Neolithic",NA,"UN",33.37,37.25,NA,-7790,-6833,-8231
"calpal","Cueva de Nerja","Beta-271213",6230,40,"Neolithic",NA,"UN",-3.8455,36.7619,NA,-5292,-4960,-5366
"calpal","Yumuktepe","R-1226",7280,70,"Neolithic",NA,"UN",34.59,36.78,NA,-6291,-5895,-6422
"calpal","Asikli Höyük","GrN-19114",8515,40,"Neolithic",NA,"UN",34.226,38.3475,NA,-7586,-7366,-7707
"calpal","Asikli Höyük","GrN-19115",8710,100,"Neolithic",NA,"UN",34.226,38.3475,NA,-8143,-7474,-8280
"calpal","Volniensky","PSUAMS-2808",6485,25,"Neolithic",NA,"UN",19.75,44.9,NA,-5476,-5320,-5606
"calpal","Kalisz Pomorski 3","Gd-2877",8820,120,"Neolithic",NA,"UN",15.91,53.3,NA,-8212,-7517,-8455
"calpal","Asikli Höyük","GrN-19359",8570,70,"Neolithic",NA,"UN",34.2295,38.3497,NA,-7737,-7336,-8156
"calpal","Vinča-Belo Brdo","OxA-27604",6173,38,"Neolithic",NA,"UN",20.623,44.7614,NA,-5208,-4907,-5308
"calpal","Trosly-Breuil","Beta-127059",5980,60,"Neolithic",NA,"UN",2.9667,49.4,NA,-4991,-4557,-5209
"calpal","Koprivets","Poz-63236",7020,50,"Neolithic",NA,"UN",25.3,41.6667,NA,-5984,-5718,-6068
"calpal","Asikli Höyük","GrN-19365",8420,30,"Neolithic",NA,"UN",34.226,38.3475,NA,-7566,-7328,-7587
"calpal","Ripa Tetta","LTL-16677A",6988,45,"Neolithic",NA,"UN",15.3351,41.5082,NA,-5969,-5713,-6024
"calpal","Lazzaro","Lyon-2611 (Poz)",6170,50,"Neolithic",NA,"UN",-0.3,49.2,NA,-5250.05,-4843,-5320
"calpal","Vinča-Belo Brdo","OxA-27646",6196,34,"Neolithic",NA,"UN",20.623,44.7614,NA,-5263,-4948,-5312
"calpal","Vinča-Belo Brdo","OxA-27647",6349,36,"Neolithic",NA,"UN",20.623,44.7614,NA,-5436,-5129,-5474
"calpal","Asikli Höyük","GrN-19869",8740,70,"Neolithic",NA,"UN",34.226,38.3475,NA,-8119,-7542,-8243
"calpal","Dakhla","Gd-5722",6470,70,"Neolithic",NA,"UN",28.9908,25.4993,NA,-5541,-5209,-5633
"calpal","Asikli Höyük","GrN-20351",8670,40,"Neolithic",NA,"UN",34.226,38.3475,NA,-7774.05,-7549,-7951
"calpal","Sabi Abyad","GrA-54919",7455,45,"Neolithic",NA,"UN",39.1,36.53,NA,-6403,-6079,-6462
"calpal","Gazel Grotte","Lyon-1992",6780,50,"Neolithic",NA,"UN",2.4,43.29,NA,-5733,-5484,-5882
"calpal","Kremenik","Bln-2105",6530,50,"Neolithic",NA,"UN",23.26,42.3,NA,-5598,-5238,-5633
"calpal","Kremenik","Bln-2106",6475,40,"Neolithic",NA,"UN",23.26,42.3,NA,-5495,-5224,-5614
"calpal","Cimetière des Escargots","Gif-463",6680,300,"Neolithic",NA,"UN",0,35.72,NA,-6043,-4542,-6466
"calpal","Kremenik","Bln-2551",6450,100,"Neolithic",NA,"UN",23.26,42.3,NA,-5563,-4997,-5717
"calpal","Chemn de Naviot","Ly-4477",6270,60,"Neolithic",NA,"UN",6.1667,48.4,NA,-5343,-4941,-5474
"calpal","Dakhla","Gd-6320",8950,120,"Neolithic",NA,"UN",28.9908,25.4993,NA,-8323,-7584,-8625
"calpal","Kremenik","Bln-2556",6480,60,"Neolithic",NA,"UN",23.26,42.3,NA,-5537,-5214,-5627
"calpal","Correio‐Mor","Wk-25162",6234,30,"Neolithic",NA,"UN",-9.1872,38.8267,NA,-5291,-5000,-5323
"calpal","Dikili Tash","Lyon-6009",6205,35,"Neolithic",NA,"UN",24.3087,41.0103,NA,-5277,-4951,-5316
"calpal","Asikli Höyük","P-1241",8793,127,"Neolithic",NA,"UN",34.2295,38.3497,NA,-8207,-7477,-8450
"calpal","Bademagaci","Hd-21015",7481,40,"Neolithic",NA,"UN",30.48,37.4,NA,-6415,-6092,-6466
"calpal","Pločnik","OxA-14689",6026,38,"Neolithic",NA,"UN",21.3666,43.2,NA,-5004,-4720,-5206
"calpal","Mezraa Teleilat","AA-49105",7973,62,"Neolithic",NA,"UN",38,36.98,NA,-7034,-6593,-7178
"calpal","Gadachrili Gora","OS-63260",6890,40,"Neolithic",NA,"UN",44.8211,41.3905,NA,-5858.05,-5628,-5980
"calpal","Scaloria","LJ-5095",6400,80,"Neolithic",NA,"UN",15.9064,41.6388,NA,-5473,-5003,-5623
"calpal","Aknashen","UGAMS-4082",6560,30,"Neolithic",NA,"UN",44.2941,40.1015,NA,-5602,-5376,-5625
"calpal","Khirokitia","Ly-3719",7540,180,"Neolithic",NA,"UN",33.34,34.8,NA,-6745,-5793,-7131
"calpal","Belovode","OxA-14680",6268,37,"Neolithic",NA,"UN",21.4,44.3166,NA,-5306,-5007,-5460
"calpal","Ovcarovo-Gorata","Poz-18486",6800,40,"Neolithic",NA,"UN",26.6006,43.2252,NA,-5736,-5560,-5876
"calpal","Djara 90/1-1","KN-4600",6685,90,"Neolithic",NA,"UN",29.9783,27.0672,NA,-5719,-5316,-5966
"calpal","Ovcarovo-Gorata","Poz-18487",6660,40,"Neolithic",NA,"UN",26.6006,43.2252,NA,-5635,-5475,-5724
"calpal","Zagajewice 1","Lod-1174",6080,60,"Neolithic",NA,"UN",18.796,52.637,NA,-5191,-4717,-5303
"calpal","Giladi","MATJ-1",8905,320,"Neolithic",NA,"UN",35.56,33.2,NA,-8763.05,-6701,-9311
"calpal","'Ain Ghazal","Erl-14760",6399,76,"Neolithic",NA,"UN",35.93,31.93,NA,-5470,-5032,-5621
"calpal","'Ain Ghazal","Erl-14769",8796,40,"Neolithic",NA,"UN",35.93,31.93,NA,-8143,-7597,-8228
"calpal","Sha'ar Hagolan","OxA-13276",7815,40,"Neolithic",NA,"UN",35.6,32.68,NA,-6746,-6465,-7032
"calpal","Sha'ar Hagolan","OxA-13296",7896,38,"Neolithic",NA,"UN",35.6,32.68,NA,-6997,-6591,-7047
"calpal","Provadia","SUERC-31399",6560,35,"Neolithic",NA,"UN",27.4333,43.1833,NA,-5603,-5371,-5628
"calpal","Samovodene","KIA-42167",6475,25,"Neolithic",NA,"UN",25.3,43.1569,NA,-5473,-5317,-5548
"calpal","Abu Hureyra","OxA-1227",8320,80,"Neolithic",NA,"UN",38.4,35.86,NA,-7512,-7043,-7593
"calpal","Yumuktepe","LTL-3977A",7405,55,"Neolithic",NA,"UN",34.6,36.79,NA,-6385,-6057,-6456
"calpal","Cavdar","Bln-1663",7070,50,"Neolithic",NA,"UN",24.083,42.63,NA,-6019.05,-5730,-6084
"calpal","Lámpara","KIA-16570",6956,39,"Neolithic",NA,"UN",-2.5152,41.1561,NA,-5956,-5670,-6008
"calpal","Svinjarička Čuka","MAMS-34883",7221,31,"Neolithic",NA,"UN",21.7111,42.9765,NA,-6200,-5925,-6231
"calpal","Nevalı Çori","OxA-8381",8710,100,"Neolithic",NA,"UN",38.65,37.58,NA,-8141,-7474,-8280
"calpal","Sabi Abyad","GrA-42452",7600,50,"Neolithic",NA,"UN",39.1,36.53,NA,-6554,-6235,-6643
"calpal","Jerf el Ahmar","Ly-2334",9980,70,"Neolithic",NA,"UN",38.2,36.38,NA,-9770,-9241,-9984
"calpal","Dobrinisce","Bln-3785",6650,60,"Neolithic",NA,"UN",23.56,41.83,NA,-5655,-5374,-5739
"calpal","Asikli Höyük","AA-96733",8860,50,"Neolithic",NA,"UN",34.2295,38.3497,NA,-8198,-7604,-8277
"calpal","Kouphovouno","OxA-20820",6202,38,"Neolithic",NA,"UN",22.4239,37.0552,NA,-5277,-4944,-5318
"calpal","Jerf el Ahmar","Ly-2602",9835,70,"Neolithic",NA,"UN",38.2,36.38,NA,-9513,-8836,-9795
"calpal","Jerf el Ahmar","Ly-2809",9835,55,"Neolithic",NA,"UN",38.2,36.38,NA,-9429,-8926,-9738
"calpal","Issaron","Pta-3000",8430,80,"Neolithic",NA,"UN",35.03,29.9,NA,-7576,-7072,-7740
"calpal","Tepecik-Çiftlik","Beta-410035",7280,30,"Neolithic",NA,"UN",34.4939,38.1722,NA,-6215,-6014,-6326
"calpal","Abu Suwwan","AA-90100",10359,60,"Neolithic",NA,"UN",35.89,32.27,NA,-10511,-9812,-10670
"calpal","Vinča-Belo Brdo","MAMS-19505",6159,35,"Neolithic",NA,"UN",20.623,44.7614,NA,-5203,-4857,-5302
"calpal","Vinča-Belo Brdo","MAMS-19506",6141,28,"Neolithic",NA,"UN",20.623,44.7614,NA,-5199,-4905,-5290
"calpal","Çatalhöyük East","AA-19345",7626,52,"Neolithic",NA,"UN",32.81,37.65,NA,-6576,-6240,-6649
"calpal","Vinča-Belo Brdo","MAMS-19515",6201,25,"Neolithic",NA,"UN",20.623,44.7614,NA,-5251,-4996,-5305
"calpal","Knossos","BM-126",7000,180,"Neolithic",NA,"UN",25.163,35.298,NA,-6186,-5364,-6453
"calpal","Issaron","RT-1691",7100,70,"Neolithic",NA,"UN",35.03,29.9,NA,-6062,-5720,-6231
"calpal","Çatalhöyük East","Poz-13700",7150,50,"Neolithic",NA,"UN",32.82,37.65,NA,-6075,-5804,-6228
"calpal","Ain el-Kerkh","NUT-2104",7230,40,"Neolithic",NA,"UN",36.46,35.82,NA,-6208,-5920,-6240
"calpal","Çatalhöyük East","Poz-19001",7430,50,"Neolithic",NA,"UN",32.82,37.65,NA,-6395,-6070,-6459
"calpal","Gritille","GrN-15251",8790,150,"Neolithic",NA,"UN",38.56,37.54,NA,-8222,-7343,-8550
"calpal","Çatalhöyük East","Poz-19104",6990,40,"Neolithic",NA,"UN",32.82,37.65,NA,-5969,-5718,-6020
"calpal","Elesnica","Bln-3239",6920,60,"Neolithic",NA,"UN",23.61,41.85,NA,-5946,-5622,-6018
"calpal","Vinča-Belo Brdo","OxA-28630",6147,31,"Neolithic",NA,"UN",20.623,44.7614,NA,-5200,-4855,-5296
"calpal","Alsonyek","SUERC-5145",6903,35,"Neolithic",NA,"UN",18.72,46.16,NA,-5867,-5638,-5979
"calpal","La Revilla del Campo","KIA-13941",7165,37,"Neolithic",NA,"UN",-2.5153,41.1698,NA,-6069,-5888,-6222
"calpal","Dakhla","Gd-6169",7320,120,"Neolithic",NA,"UN",28.9908,25.4993,NA,-6387,-5743,-6591
"calpal","Qarassa","Ly-14517",9290,45,"Neolithic",NA,"UN",36.6066,32.8317,NA,-8626,-8292,-8783
"calpal","Cova de la Sarsa","OxA-31629",6309,36,"Neolithic",NA,"UN",-0.5825,38.7603,NA,-5349,-5057,-5470
"calpal","Sabi Abyad","GrA-42835",7160,40,"Neolithic",NA,"UN",39.1,36.53,NA,-6069,-5847,-6223
"calpal","Sion, Planta","CRC-279",6200,100,"Neolithic",NA,"UN",7.3594,46.2291,NA,-5326,-4715,-5479
