"","sourcedb","SiteName","LabCode","C14Age","C14SD","db_period","db_culture","Period","lon","lat","colors","median","tpq","taq"
"3279","calpal","Friesack","Bln-3024",9180,70,"Epipalaeolithic",NA,"UM",12.5833,52.7333,NA,-8404.50953519293,-8020,-8739
"3280","calpal","Friesack","Bln-3025",9340,70,"Epipalaeolithic",NA,"UM",12.5833,52.7333,NA,-8593.59363618418,-8286,-9121
"3281","calpal","Friesack 4","Bln-3029",6990,70,"Epipalaeolithic","Mesolithic","EM",12.5783,52.7398,NA,-5867.80954899334,-5630,-6077
"3282","calpal","Friesack","Bln-3030",7290,600,"Epipalaeolithic",NA,"UM",12.5833,52.7333,NA,-6218.90990429428,-4352,-8278
"3283","calpal","Friesack","Bln-3031",7570,700,"Epipalaeolithic",NA,"UM",12.5833,52.7333,NA,-6541.129276599,-4365,-9115
"3284","calpal","Friesack","Bln-3032",8130,600,"Epipalaeolithic",NA,"UM",12.5833,52.7333,NA,-7135.86145194447,-5370,-9295
"3285","calpal","Friesack","Bln-3035",8850,60,"Epipalaeolithic",NA,"UM",12.5833,52.7333,NA,-7995.91281727666,-7597,-8282
"3286","katsianis","Dimitra. Serres","Bln-3189",7470,60,NA,"Early Neolithic","EN",23.864148,40.976793,NA,-6327.62628662381,-6072,-6560
"3287","calpal","Elesnica","Bln-3237",6790,50,"Neolithic",NA,"UN",23.61,41.85,NA,-5682.97467250725,-5485,-5886
"3288","calpal","Elesnica","Bln-3238",7010,60,"Neolithic",NA,"UN",23.61,41.85,NA,-5889.19945607542,-5665,-6074
"3289","calpal","Elesnica","Bln-3239",6920,60,"Neolithic",NA,"UN",23.61,41.85,NA,-5802.19068284235,-5622,-6018
"3290","calpal","Elesnica","Bln-3240",6850,50,"Neolithic",NA,"UN",23.61,41.85,NA,-5730.34722370445,-5564,-5978
"3291","calpal","Elesnica","Bln-3241",6960,60,"Neolithic",NA,"UN",23.61,41.85,NA,-5838.84483997702,-5630,-6061
"3292","calpal","Elesnica","Bln-3242",6940,50,"Neolithic",NA,"UN",23.61,41.85,NA,-5816.86601082262,-5635,-6015
"3293","calpal","Elesnica","Bln-3244",6720,70,"Neolithic",NA,"UN",23.61,41.85,NA,-5634.54662608991,-5386,-5885
"3294","calpal","Elesnica","Bln-3245",6730,90,"Neolithic",NA,"UN",23.61,41.85,NA,-5641.64653192244,-5367,-5980
"3295","calpal","Friesack 4","Bln-3295",6730,60,"Epipalaeolithic","Mesolithic","EM",12.5783,52.7398,NA,-5644.29639751699,-5475,-5875
"3296","calpal","Promachon","Bln-3348",6000,80,"Neolithic",NA,"UN",23.0833,41.9833,NA,-4893.075629414,-4541,-5299
"3297","calpal","Promachon","Bln-3349",6240,90,"Neolithic",NA,"UN",23.0833,41.9833,NA,-5178.80172541589,-4790,-5511
"3298","calpal","Cascioarela","Bln-335",5985,120,"Neolithic","Boian","EN",26.4697,44.1259,NA,-4881.45985500518,-4365,-5368
"3299","radon","Plovidiv-Jasatepe","Bln-338",6080,80,"III","Karanovo culture","EN",24.416667,42.266667,NA,-4995.58430851783,-4622,-5323
"3300","calpal","Promachon","Bln-3381",6270,60,"Neolithic",NA,"UN",23.0833,41.9833,NA,-5240.92548118837,-4941,-5474
"3301","calpal","Promachon","Bln-3382",6100,60,"Neolithic",NA,"UN",23.0833,41.9833,NA,-5022.36357237091,-4722,-5308
