"sourcedb","SiteName","LabCode","C14Age","C14SD","db_period","db_culture","Period","lon","lat","colors","median","tpq","taq"
"neonet","Piano Vento","A-4474",6130,90,"EN",NA,"EN",13.5667,37.3167,NA,-5263,-4689,-5469
"neonet","Font del Ros","AA-16498",6561,56,"EN",NA,"EN",1.845261,42.09765,NA,-5608,-5313,-5703
"neonet","Font del Ros","AA-16499",6243,56,"EN",NA,"EN",1.845261,42.09765,NA,-5305,-4936,-5470
"neonet","Font del Ros","AA-16500",6058,79,"EN",NA,"EN",1.845261,42.09765,NA,-5190,-4612,-5313
"neonet","Font del Ros","AA-16501",6307,68,"EN",NA,"EN",1.845261,42.09765,NA,-5431,-4945,-5512
"neonet","Font del Ros","AA-16502",6370,57,"EN",NA,"EN",1.845261,42.09765,NA,-5460,-5053,-5530
"neonet","Turo de Can Bellsola","AA-19187",6250,80,"EN",NA,"EN",2.179214,41.535439,NA,-5353,-4836,-5478
"neonet","Abric de la Falguera","AA-2295",7410,70,"LM",NA,"LM",-0.5881,38.6662,NA,-6398,-6016,-6473
"neonet","Abrigo de la Cativera","AA-23367",7979,60,"EM",NA,"EM",1.33365,41.185513,NA,-7035,-6595,-7178
"neonet","Espeluche-Lalo","AA-32638",6560,85,"EN",NA,"EN",4.81722,44.541,NA,-5617,-5214,-5736
"neonet","Espeluche-Lalo","AA-32639",6520,65,"EN",NA,"EN",4.81722,44.541,NA,-5598,-5217,-5663
"neonet","Espeluche-Lalo","AA-32641",6585,60,"EN",NA,"EN",4.81722,44.541,NA,-5614,-5316,-5719
"neonet","Espeluche-Lalo","AA-32642",7315,65,"LM",NA,"LM",4.81722,44.541,NA,-6334,-5924,-6428
"neonet","Espeluche-Lalo","AA-32644",6220,60,"EN",NA,"EN",4.81722,44.541,NA,-5295,-4848,-5468
"neonet","Abri du Monte Leone","AA-35788",7930,85,"MM",NA,"MM",9.184647,41.387823,NA,-7032,-6461,-7313
"neonet","Baume d'Oullins","AA-53291",6233,64,"EN",NA,"EN",4.456943,44.342326,NA,-5305,-4848,-5471
"neonet","Baume d'Oullins","AA-53292",6210,69,"EN",NA,"EN",4.456943,44.342326,NA,-5296,-4804,-5471
"neonet","Baume d'Oullins","AA-53293",6168,63,"EN",NA,"EN",4.456943,44.342326,NA,-5270,-4795,-5369
"neonet","Baume d'Oullins","AA-53294",6233,64,"EN",NA,"EN",4.456943,44.342326,NA,-5304,-4848,-5471
"neonet","Baume d'Oullins","AA-53295",6363,65,"EN",NA,"EN",4.456943,44.342326,NA,-5460,-5032,-5605
"neonet","Baume d'Oullins","AA-53296",6191,63,"EN",NA,"EN",4.456943,44.342326,NA,-5281,-4805,-5462
"neonet","Abric de la Falguera","AA-59519",7526,44,"LM",NA,"LM",-0.5881,38.6662,NA,-6444,-6224,-6565
"neonet","Baume d'Oullins","AA-61623",6398,77,"EN",NA,"EN",4.456943,44.342326,NA,-5471,-5011,-5621
"neonet","Baume d'Oullins","AA-61624",6291,66,"EN",NA,"EN",4.456943,44.342326,NA,-5374,-4941,-5478
"neonet","Baume d'Oullins","AA-61626",6381,76,"EN",NA,"EN",4.456943,44.342326,NA,-5466,-5000,-5618
"neonet","Baume d'Oullins","AA-61627",6101,66,"EN",NA,"EN",4.456943,44.342326,NA,-5197,-4717,-5314
"neonet","Baume d'Oullins","AA-61629",6386,67,"EN",NA,"EN",4.456943,44.342326,NA,-5465,-5044,-5613
"neonet","Baume d'Oullins","AA-61630",6336,67,"EN",NA,"EN",4.456943,44.342326,NA,-5453,-4995,-5529
"neonet","Baume d'Oullins","AA-61631",6407,67,"EN",NA,"EN",4.456943,44.342326,NA,-5470,-5056,-5617
"neonet","Baume d'Oullins","AA-61632",6421,68,"EN",NA,"EN",4.456943,44.342326,NA,-5474,-5062,-5620
"neonet","Su Carroppu","AA-80546",6156,93,"EN",NA,"EN",8.549996,39.196373,NA,-5284,-4707,-5473
"neonet","Rio Tana","AECV-2011C",6790,70,"EN",NA,"EN",13.673419,41.940862,NA,-5799,-5477,-5979
"neonet","Rio Tana","AECV-2012C",6860,60,"EN",NA,"EN",13.673419,41.940862,NA,-5865.05,-5559,-5986
"neonet","Sion-Planta","B-4008",5980,30,"EN",NA,"EN",7.357827,46.232916,NA,-4937,-4714,-5034
"neonet","Castel Grande di Bellinzona","B-4565",6270,40,"EN",NA,"EN",9.017,46.2,NA,-5309,-5002,-5465
"neonet","Abri de Chable-Croix","B-4978",7410,100,"EM",NA,"EM",6.910954,46.297234,NA,-6416,-5919,-6596
"neonet","Pizzo di Bodio","B-5088",6060,50,"EN",NA,"EN",8.736806,45.80328,NA,-5177,-4719,-5275
"neonet","Pizzo di Bodio","B-5090",6320,80,"EN",NA,"EN",8.736806,45.80328,NA,-5451,-4912,-5607
"neonet","Grotta Filiestru","BM-2139R",7760,130,"EN",NA,"EN",8.651545,40.453804,NA,-6985,-6094,-7244
"neonet","Marcianese","BM-2250",6290,60,"EN",NA,"EN",14.382237,42.208409,NA,-5363,-4952,-5476
"neonet","Marcianese","BM-2250R",6590,130,"EN",NA,"EN",14.382237,42.208409,NA,-5701,-5042,-5977
"neonet","Marcianese","BM-2251",6250,90,"EN",NA,"EN",14.382237,42.208409,NA,-5370,-4793,-5519
"neonet","Marcianese","BM-2251R",6570,140,"EN",NA,"EN",14.382237,42.208409,NA,-5699,-4994,-5980
"neonet","Marcianese","BM-2252",6000,110,"EN",NA,"EN",14.382237,42.208409,NA,-5181,-4449,-5361
"neonet","Marcianese","BM-2252R",6300,170,"EN",NA,"EN",14.382237,42.208409,NA,-5513,-4546,-5733
"neonet","Abrigo de la Pena Maranon","BM-2263",7890,120,"EM",NA,"EM",-2.438382,42.632909,NA,-7038,-6387,-7446
"neonet","Santa Tecchia","BM-2414",6520,70,"EN",NA,"EN",15.842114,41.685083,NA,-5600,-5215,-5707
"neonet","Fontanarosa Uliveto","BM-2415",6490,150,"EN",NA,"EN",15.783333,41.326,NA,-5633,-4840,-5893
"neonet","Coppa Nevigata","BM-2557",7780,320,"EN",NA,"EN",15.830555,41.563888,NA,-7352.05,-5666,-7810
"neonet","Cerro de la Virtud","Beta-101424",6160,180,"EN",NA,"EN",-2.1334,37.35,NA,-5412,-4363,-5656
"neonet","Grapceva Cave","Beta-103485",6130,80,"LN",NA,"LN",16.753065,43.133991,NA,-5250,-4713,-5457
"neonet","Grapceva Cave","Beta-103488",7030,60,"EN",NA,"EN",16.753065,43.133991,NA,-5997,-5673,-6080
"neonet","Petites Baties","Beta-103862",6290,50,"EN",NA,"EN",4.702349,44.298495,NA,-5349,-4998,-5473
"neonet","Petites Baties","Beta-103867",6230,50,"EN",NA,"EN",4.702349,44.298495,NA,-5295,-4939,-5461
"neonet","Petites Baties","Beta-103868",6270,50,"EN",NA,"EN",4.702349,44.298495,NA,-5319.05,-4992,-5471
"neonet","Petites Baties","Beta-103870",6270,50,"EN",NA,"EN",4.702349,44.298495,NA,-5324,-4992,-5471
"neonet","Petites Baties","Beta-103872",7240,50,"EN",NA,"EN",4.702349,44.298495,NA,-6212,-5915,-6362
"neonet","Cova de les Cendres","Beta-107405",6280,80,"EN",NA,"EN",0.152631,38.685691,NA,-5394.05,-4846,-5520
"neonet","Grotta delle Arene Candide","Beta-109619",6370,50,"EN",NA,"EN",8.32828,44.162304,NA,-5460,-5066,-5517
"neonet","Grotta delle Arene Candide","Beta-110542",6830,40,"EN",NA,"EN",8.32828,44.162304,NA,-5783,-5566,-5889
"neonet","Umbro","Beta-122939",6750,50,"EN",NA,"EN",15.9178,37.9392,NA,-5718,-5480,-5838
"neonet","Cova de Can Sadurni","Beta-127898",6050,110,"EN",NA,"EN",1.912258,41.345381,NA,-5203,-4465,-5465
"neonet","Cueva de Nerja","Beta-131577",6590,40,"EN",NA,"EN",-3.844529,36.762871,NA,-5610,-5376,-5659
"neonet","Pupicina Cave","Beta-131624",6270,120,"EN",NA,"EN",14.1642,45.3156,NA,-5442,-4716,-5622
"neonet","Pupicina Cave","Beta-131625",6680,100,"EN",NA,"EN",14.1642,45.3156,NA,-5729,-5228,-5976
"neonet","Umbro","Beta-135147",6620,60,"EN",NA,"EN",15.9178,37.9392,NA,-5626,-5363,-5729
"neonet","La Draga","Beta-137197",6290,70,"EN",NA,"EN",2.758536,42.126877,NA,-5381,-4936,-5479
"neonet","La Draga","Beta-137198",6270,70,"EN",NA,"EN",2.758536,42.126877,NA,-5358,-4853,-5477
"neonet","Balma Serrat del Pont","Beta-138589",7330,40,"LM",NA,"LM",2.605034,42.247472,NA,-6258.05,-6022,-6392
"neonet","Cova de les Cendres","Beta-142228",6340,70,"EN",NA,"EN",0.152631,38.685691,NA,-5455,-4993,-5555
"neonet","Abric de la Falguera","Beta-142289",6510,80,"EN",NA,"EN",-0.5881,38.6662,NA,-5601,-5209,-5716
"neonet","Su Coloru","Beta-145956",7740,50,"LM",NA,"LM",8.712183,40.661832,NA,-6640,-6421,-6820
"neonet","Su Coloru","Beta-145957",7920,80,"LM",NA,"LM",8.712183,40.661832,NA,-7026,-6463,-7179
"neonet","Cova Fosca","Beta-148994",5980,70,"EN",NA,"EN",-0.13224,40.45999,NA,-5020,-4544,-5213
"neonet","Cova Fosca","Beta-148999",5980,70,"EN",NA,"EN",-0.13224,40.45999,NA,-5022,-4544,-5213
"neonet","Cova Fosca","Beta-149000",6080,80,"EN",NA,"EN",-0.13224,40.45999,NA,-5197,-4622,-5323
"neonet","Cova Fosca","Beta-149001",6140,90,"EN",NA,"EN",-0.13224,40.45999,NA,-5272,-4701,-5470
"neonet","Cova Fosca","Beta-149004",6150,70,"EN",NA,"EN",-0.13224,40.45999,NA,-5262,-4730,-5370
