"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"Sammardenchia"	138	"R-2548"	13.231355	45.975305	"EN"	-5468	138	"Cfa"
"neonet"	"Santa Anna d'Oria III"	143	"R-322"	17.639	40.499	"EN"	-5682	143	NA
"neonet"	"Santa Tecchia"	144	"BM-2414"	15.842114	41.685083	"EN"	-5477	144	"Csa"
"neonet"	"Santo Stefano di Ortucchio"	145	"LTL-60A"	13.666385	41.953894	"EN"	-5721	145	"Csa"
"calpal"	"Saracena"	146	"LTL-2155A"	16.498	39.698	"EN"	-5695	146	"Csa"
"neonet"	"Scamuso"	148	"Gif-7055"	17.039166	41.0775	"EN"	-5703	148	NA
"neonet"	"Scaramella di San vito"	149	"R-350"	15.637926	41.710877	"EN"	-5875	149	"Csa"
"radon"	"Sion - Chemin des Collines"	150	"CRG-925"	7.352	46.232	"EN"	-5571	150	"Dfc"
"neonet"	"Skarin Samograd"	153	"Hd-11950"	16.167023	43.85587	"EN"	-5678	153	"Cfa"
"neonet"	"Su Carroppu"	156	"Ly-3012"	8.549996	39.196373	"EN"	-5405	156	"Csa"
"neonet"	"Su Coloru"	157	"Beta-167931"	8.712183	40.661832	"EN"	-5720	157	"Csa"
"neonet"	"Terragne"	158	"Beta-59933"	17.626339	40.392311	"EN"	-5759	158	NA
"neonet"	"Torre Canne"	159	"Gif-6725"	17.3667	40.8334	"EN"	-5789	159	"Csa"
"bda"	"Torre Sabea"	160	"Lyon-1448 (OXA)"	17.9667	40.0556	"EN"	-5740	160	NA
"neonet"	"Trasano"	163	"Ly-3955(OxA)"	16.636111	40.675555	"EN"	-5809	163	"Csa"
"neonet"	"Umbro"	164	"Beta-122939"	15.9178	37.9392	"EN"	-5659	164	NA
"neonet"	"Vela Spila"	166	"OxA-18118"	16.71836	42.969649	"EN"	-6008	166	NA
