"idf"	"site"	"period"	"median"	"code"	"lon"	"lat"	"sourcedb"
169	"Saracena"	"EN"	-5695	"Csa"	16.498	39.698	"calpal"
171	"Scaloria"	"EN"	-5633	"Csa"	15.9064	41.6388	"calpal"
172	"Scamuso"	"EN"	-5703	NA	17.039166	41.0775	"neonet"
173	"Scaramella di San vito"	"EN"	-5875	"Csa"	15.637926	41.710877	"neonet"
174	"Settecanelle"	"EN"	-5531	"Csa"	11.755982	42.544185	"bda"
178	"Skarin Samograd"	"EN"	-5678	"Cfa"	16.167023	43.85587	"neonet"
182	"Su Carroppu"	"EN"	-5405	"Csa"	8.549996	39.196373	"bda"
183	"Su Coloru"	"EN"	-5720	"Csa"	8.712183	40.661832	"neonet"
184	"Terragne"	"EN"	-5759	NA	17.626339	40.392311	"neonet"
185	"Torre Canne"	"EN"	-5789	"Csa"	17.3667	40.8334	"neonet"
186	"Torre Sabea"	"EN"	-5740	NA	17.9667	40.0556	"bda"
189	"Trasano"	"EN"	-5809	"Csa"	16.636111	40.675555	"neonet"
190	"Trasano"	"EN"	-5809	"Csa"	16.6	40.6667	"bda"
191	"Umbro"	"EN"	-5659	NA	15.9178	37.9392	"neonet"
192	"Uzzo"	"EN"	-6307	NA	12.788302	38.112385	"bda"
194	"Vela Spila"	"EN"	-6008	NA	16.71836	42.969649	"neonet"
201	"Škarin Samograd"	"EN"	-5678	"Cfa"	16.096262	43.78162	"bda"
