Code_Region;Region / Country;Department / District;Municipality;Site;Cultural_complex;Cultural_aspect;Event_id.;Method_1;Lab_count_id.;14C_age_BP;STD;Curve;Method_2;Material;Generic_Specific_id.;Anatomical_id.;Identified_by;Reference(s);Comment_1;STD_accuracy;Accuracy_score;Material_reliability;Reliability_score;Quality_score;Comment_2;HPD_IntCal20;ChronoModel_id.;BMAP_EMAP;MACT-1;MACT-2;MACT-3
CWM_A072;Friuli-Venezia Giulia (IT);Udine;Pozzuolo Del Friuli;Sammardenchia;LIN_FRL;Friul;A072_SMM#Pit-153_US-3#B;14C;R-3142;5958;76;intcal20.14c;LSC;Charcoal;na;na;na;Improta & Pessina 1998;_;LOW;2;OWE;2;4;_;"[ -5041 ; -4678 ]";na;na;;;
CWM_D011;Liguria (IT);Savona;Nasino;Nasino (arma di);ICC;na;D011_NSN#TR-ABW_Level-9s;14C;R-315;6280;70;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1968;_;GOOD;3;OWE;2;6;_;"[ -5464 ; 5045 ]";na;na;;;
CWM_D011;Liguria (IT);Savona;Nasino;Nasino (arma di);ICC;na;D011_NSN#TR-ABW_Level-9m#A;14C;R-316;6015;65;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1968;_;GOOD;3;OWE;2;6;_;"[ -5200 ; -4725 ]";na;na;;;
CWM_D011;Liguria (IT);Savona;Nasino;Nasino (arma di);ICC;na;D011_NSN#TR-ABW_Level-9m#B;14C;R-316A;5955;65;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1968;_;GOOD;3;OWE;2;6;_;"[ -4998 ; -4698 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;Dendro-curve_Wiggle-matching;C032_MRM#post-946_rings-28/38;14C;R-3184;6412;45;intcal20.14c;LSC;Waterlogged wood;na;na;Dendro_CM1;Fugazzola Delpino et al. 2010;_;HIGH;4;SLS;3;12;_;"[ -5474 ; -5309 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;Dendro-curve_Wiggle-matching;C032_MRM#post-946_rings-48/58;14C;R-3186;6433;42;intcal20.14c;LSC;Waterlogged wood;na;na;Dendro_CM1;Fugazzola Delpino et al. 2010;_;HIGH;4;SLS;3;12;_;"[ -5474 ; -5324 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;Dendro-curve_Wiggle-matching;C032_MRM#post-946_rings-88/98;14C;R-3192;6426;41;intcal20.14c;LSC;Waterlogged wood;na;na;Dendro_CM1;Fugazzola Delpino et al. 2010;_;HIGH;4;SLS;3;12;_;"[ -5473 ; -5321 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;Dendro-curve_Wiggle-matching;C032_MRM#post-946_rings-108/118;14C;R-3193;6389;52;intcal20.14c;LSC;Waterlogged wood;na;na;Dendro_CM1;Fugazzola Delpino et al. 2010;_;GOOD;3;SLS;3;9;_;"[ -5473 ; -5222 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;Dendro-curve_Wiggle-matching;C032_MRM#post-946_rings-68/78;14C;R-3306;6439;57;intcal20.14c;LSC;Waterlogged wood;na;na;Dendro_CM1;Fugazzola Delpino et al. 2010;_;GOOD;3;SLS;3;9;_;"[ -5511 ; -5230 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;Dendro-curve_Wiggle-matching;C032_MRM#post-780_rings-33/43;14C;R-3308;6430;58;intcal20.14c;LSC;Waterlogged wood;na;na;Dendro_CM1;Fugazzola Delpino et al. 2010;_;GOOD;3;SLS;3;9;_;"[ -5479 ; -5226 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;Dendro-curve_Wiggle-matching;C032_MRM#post-780_rings-73/83;14C;R-3309;6389;85;intcal20.14c;LSC;Waterlogged wood;na;na;Dendro_CM1;Fugazzola Delpino et al. 2010;_;LOW;2;SLS;3;6;_;"[ -5526 ; -5129 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;Dendro-curve_Wiggle-matching;C032_MRM#post-780_rings-13/23;14C;R-3310;6446;30;intcal20.14c;LSC;Waterlogged wood;na;na;Dendro_CM1;Fugazzola Delpino et al. 2010;_;HIGH;4;SLS;3;12;_;"[ -5475 ; -5334 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;Dendro-curve_Wiggle-matching;C032_MRM#post-780_rings-53/63;14C;R-3311;6442;46;intcal20.14c;LSC;Waterlogged wood;na;na;Dendro_CM1;Fugazzola Delpino et al. 2010;_;HIGH;4;SLS;3;12;_;"[ -5476 ; -5322 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);ICC;na;C032_MRM#STR-6_spit-1;14C;R-3327;6494;49;intcal20.14c;LSC;Waterlogged wood;na;na;na;Delpino 2020;_;HIGH;4;OWE;2;8;_;"[ -5556 ; -5333 ]";na;na;;;
CWM_D011;Liguria (IT);Savona;Nasino;Nasino (arma di);ICC;na;D011_NSN#Level-10;14C;R-333;5980;85;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1968;_;LOW;2;OWE;2;4;_;"[ -5204 ; -4676 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);ICC;na;C032_MRM#STR-6_spit-2;14C;R-3331;6622;64;intcal20.14c;LSC;Waterlogged wood;na;na;na;Delpino 2020;_;GOOD;3;OWE;2;6;_;"[ -5655 ; -5475 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);ICC;na;C032_MRM#STR-5_spit-1;14C;R-3338;6487;64;intcal20.14c;LSC;Waterlogged wood;na;na;na;Delpino 2020;_;GOOD;3;OWE;2;6;_;"[ -5605 ; -5320 ]";na;na;;;
