ID;SiteName;LFSite;SiteType;Country;Period;PhaseCode;LabCode;C14Age;C14SD;Material;MaterialSpecies;AnatomicalParts;Reliability;tpq;taq;Longitude;Latitude;bib;bib_url;;
645;Espeluche-Lalo;Lalo;OP;France;EN;St. 8;AA-32644;6220;60;n/a;n/a;n/a;;-5311;-5011;4,81722;44,541;Beeching et al. 2000;Beeching00;;
341;Abri du Monte Leone;;RK;France;MM;US 20;AA-35788;7930;85;wood charcoal;n/d;n/a;;-7057;-6604;9,184647;41,387823;Costa 2004;https://doi.org/10.3406/galip.2004.2043;;
554;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6B;AA-53291;6233;64;animal bone;Capra hircus;n/a;;-5321;-5007;4,456943;44,342326;Garcia-Puchol & Salazar-Garcia 2017;https://doi.org/10.1007/978-3-319-52939-4;;
557;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 5;AA-53292;6210;69;animal bone;Capra hircus;n/a;;-5321;-4960;4,456943;44,342326;Garcia-Puchol & Salazar-Garcia 2017;https://doi.org/10.1007/978-3-319-52939-4;;
559;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 5;AA-53293;6168;63;animal bone;Capra hircus;n/a;;-5301;-4944;4,456943;44,342326;Garcia-Puchol & Salazar-Garcia 2017;https://doi.org/10.1007/978-3-319-52939-4;;
555;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6A;AA-53294;6233;64;animal bone;Capra hircus;n/a;;-5321;-5007;4,456943;44,342326;Garcia-Puchol & Salazar-Garcia 2017;https://doi.org/10.1007/978-3-319-52939-4;;
547;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6;AA-53295;6363;65;animal bone;Capra hircus;n/a;;-5474;-5216;4,456943;44,342326;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
558;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6A;AA-53296;6191;63;animal bone;Capra hircus;n/a;;-5308;-4990;4,456943;44,342326;Garcia-Puchol & Salazar-Garcia 2017;https://doi.org/10.1007/978-3-319-52939-4;;
2590;Abric de la Falguera;;RK;Spain;LM;Phase VIII, UE3151;AA-59519;7526;44;plant seed;Bractea sp.;n/a;;-6460;-6251;-0,5881;38,6662;Garcia Puchol et al. 2009;https://doi.org/10.3998/jar.0521004.0065.205;;
2595;Abric de la Falguera;;RK;Spain;EN;UE-3117;AA-60625;5833;65;animal bone;Capra pyrenaica;n/a;;-4844;-4506;-0,5881;38,6662;Garcia Puchol et al. 2006;GarciaPuchol06;;
544;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6;AA-61623;6398;77;animal bone;Ovis aries;n/a;;-5511;-5213;4,456943;44,342326;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
550;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6;AA-61624;6291;66;animal bone;Ovis aries;n/a;;-5468;-5053;4,456943;44,342326;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
561;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6;AA-61625;5856;64;animal bone;Ovis aries;n/a;;-4888;-4545;4,456943;44,342326;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
546;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6;AA-61626;6381;76;animal bone;Ovis aries;n/a;;-5481;-5209;4,456943;44,342326;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
560;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6;AA-61627;6101;66;animal bone;Ovis aries;n/a;;-5212;-4846;4,456943;44,342326;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
545;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6;AA-61629;6386;67;animal bone;Capra hircus;n/a;;-5478;-5217;4,456943;44,342326;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
549;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6;AA-61630;6336;67;animal bone;Capra hircus;n/a;;-5475;-5083;4,456943;44,342326;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
543;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6;AA-61631;6407;67;animal bone;Capra hircus;n/a;;-5481;-5218;4,456943;44,342326;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
542;Baume d'Oullins;Oullins / Oulen (baume d');GR;France;EN;Layer 6;AA-61632;6421;68;animal bone;Capra hircus;n/a;;-5516;-5219;4,456943;44,342326;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
2465;Su Carroppu;;RK;Italy;EN;sond.B Layer 4 (>-1,50 m);AA-80546;6156;93;animal bone;Sus scrofa;n/a;;-5311;-4847;8,549996;39,196373;Luglie 2018;https://doi.org/10.1016/j.quaint.2017.12.032;;
2286;Rio Tana;Rio Tana;OP;Italy;EN;US 3;AECV-2011C;6790;70;wood charcoal;n/d;n/a;;-5837;-5562;13,673419;41,940862;Petrinelli-Pannocchia & Vassanelli 2020;Petrinelli20;;
2285;Rio Tana;Rio Tana;OP;Italy;EN;US 5;AECV-2012C;6860;60;wood charcoal;n/d;n/a;;-5884;-5633;13,673419;41,940862;Petrinelli-Pannocchia & Vassanelli 2020;Petrinelli20;;
982;Saint-Antoine;;OP;France;MN;Ensemble 42, Structure 4208;ARC-1429;5680;60;n/a;n/a;n/a;;-4680;-4365;5,9978;44,4206;Coye et al. 1998;Coye98;;
978;Roynac Le Serre;;OP;France;EN;Ensemble 42, Phase I2b, St.A, soil S9;ARC-1443;5685;100;wood charcoal;n/d;n/a;;-4776;-4344;4,914792;44,656206;Vital 1999;https://doi.org/10.3406/bspf.1999.10945;;
871;Hautecombe (lac du Bourget);;OP;France;MN;Sequence dendrochronologique 9005HT;ARC-371;5055;60;wood charcoal;Quercus sp.;n/a;;-3971;-3659;5,840794;45,749788;Perrin & Manen 2021;https://doi.org/10.1371/journal.pone.0246964;;
3271;Chemin des Collines;;BU;Swiss;MN;z.W Layer 8-6;ARC-403;5360;120;human bone;Homo sapiens;n/a;;-4446;-3959;7,353822;46,232509;Hafner 2012;Hafner12;;
