"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"Arma dello Stefanin"	18	"Bln-3276"	8.0021	44.1044	"EN"	-5549	18	"Cfa"
"neonet"	"Balma Margineda"	22	"Beta-398960"	1.487	42.4824	"EN"	-5598	22	"Cfb"
"neonet"	"Balsignano"	23	"KIA-?"	16.794123	41.066968	"EN"	-5517	23	NA
"neonet"	"Castelli"	52	"Beta-332596"	9.033342	42.255492	"EN"	-5588	52	"Csb"
"neonetatl"	"Clos des Poujol"	62	"Ly-2670 (GrA)"	3.0636	44.38473	"EN"	-5542	62	"Cfb"
"neonet"	"Cova en Pardo"	89	"Beta-231880"	-0.297931	38.814485	"EN"	-5580	89	"BSk"
"neonet"	"Cueva de Chaves"	95	"GrN-12683"	-0.15	42.2255	"EN"	-5575	95	"Csb"
"neonet"	"El Cavet"	113	"Beta-222342"	1.071025	41.076358	"EN"	-5555	113	"Csa"
"neonet"	"Espeluche-Lalo"	116	"AA-32641"	4.81722	44.541	"EN"	-5534	116	"Cfa"
"neonet"	"Font del Ros"	125	"AA-16498"	1.845261	42.09765	"EN"	-5519	125	"Cfb"
"radon"	"Gornja Tuzla"	134	"GrN-2059"	18.783333	44.45	"EN"	-5568	134	"Dfb"
"neonet"	"Guixeres de Vilobi"	145	"OxA-26068"	1.665863	41.382693	"EN"	-5577	145	"Csa"
"neonet"	"Konjevrate"	150	"PSU-5291/UCIAMS-116203"	16.011773	43.784563	"EN"	-5581	150	"Cfa"
"neonet"	"La Lampara"	155	"KIA-16579"	-2.512798	41.190069	"EN"	-5548	155	"Csa"
"neonet"	"Lama Balice"	160	"LTL-1212a"	16.759	41.124	"EN"	-5507	160	NA
"neonet"	"Maddalena di Muccia"	173	"R-643a"	13.059873	43.073523	"EN"	-5530	173	"Cfa"
"neonet"	"Mas Is"	177	"Beta-162092"	-0.582689	38.760273	"EN"	-5543	177	"BSk"
"neonet"	"Masseria Candelaro"	180	"OxA-12062"	15.750553	41.61289	"EN"	-5569	180	"Csa"
"neonet"	"Masseria Pantano"	182	"LTL-12711A"	15.565646	41.435773	"EN"	-5578	182	"Csa"
"neonet"	"Montclus"	186	"KN-181"	4.43047	44.26473	"EN"	-5567	186	"Cfa"
"neonet"	"Nerja"	194	"Beta-131577"	-3.844529	36.762871	"EN"	-5535	194	"BSk"
"neonet"	"Padrao"	199	"ICEN-873"	-3.11	42.63	"EN"	-5502	199	"Csb"
"neonet"	"Palata"	200	"LTL-5187a"	16.0659	41.2222	"EN"	-5528	200	"Csa"
"neonet"	"Piano di Cerreto"	210	"R-548"	10.417	44.133	"EN"	-5595	210	"Dfb"
"neonet"	"Portonovo Fosso Fontanaccia"	216	"LTL-12777A"	13.573426	43.563733	"EN"	-5515	216	NA
"neonet"	"Pupicina"	222	"Beta-131625"	14.1642	45.3156	"EN"	-5596	222	"Cfb"
"neonet"	"Revilla del Campo"	227	"KIA-13940"	-2.549566	41.17593	"EN"	-5521	227	"Csa"
"neonetatl"	"Ribeira de Alcantarilha"	228	"Wk-6851"	-8.3447	37.1271	"EN"	-5503	228	"Csa"
"neonet"	"Ronze"	236	"Ly-6083"	4.404267	44.318435	"EN"	-5555	236	"Cfa"
"neonet"	"S. Croce"	238	"OxA-7596"	16.469149	41.176935	"EN"	-5515	238	"Csa"
"neonet"	"Sant Pau del Camp"	246	"Beta-407495"	2.169751	41.375989	"EN"	-5533	246	NA
"neonet"	"Settecannelle"	258	"GrA-15587"	11.755982	42.544185	"EN"	-5531	258	"Csa"
"neonetatl"	"Vidigal"	280	"Ly-4695"	-8.7799	37.8263	"EN"	-5568	280	"Csa"
