"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"A Revellata 1"	1	"Ly-6085"	8.75	42.5667	"EN"	-5245	1	NA
"neonet"	"Abeurador"	2	"MC-2145"	2.577568	43.367758	"EN"	-5215	2	"Csa"
"neonetatl"	"Abrigo de El Portalón"	8	"Beta-222340"	-3.520377	42.36199	"EN"	-5255	8	"Csb"
"neonet"	"Abrigo de Huerto Raso"	9	"GrA-21360"	0.040975	42.228576	"EN"	-5275	9	"Csa"
"neonet"	"Abrigo de l'Esplugon"	13	"MAMS-30168"	-0.409051	42.412895	"EN"	-5261	13	"Csa"
"neonetatl"	"Armazéns Sommer"	22	"Wk-45573"	-9.130094	38.70966	"EN"	-5256	22	"Csa"
"neonetatl"	"Cabeço da Amoreira"	34	"Wk-26796"	-8.6846	39.1054	"EN"	-5298	34	"Csa"
"neonet"	"Camprafaud"	39	"Beta-433208"	2.903389	43.45797	"EN"	-5261	39	"Csa"
"neonet"	"Can Fiula"	40	"Beta-280353"	2.175581	41.53002	"EN"	-5248	40	"Cfa"
"bda"	"Can Xammar"	43	"Beta-x2"	2.448568	41.539548	"EN"	-5255	43	"Cfa"
"neonetatl"	"Carrascal"	48	"Beta-276401"	-9.1639	38.4329	"EN"	-5258	48	NA
"neonet"	"Casalecchio di Reno"	52	"LTL-2436"	11.269892	44.483315	"EN"	-5276	52	"Cfb"
"neonetatl"	"Castelo Belinho"	54	"Sac-2030"	-8.5546	37.2067	"EN"	-5242	54	"Csa"
"neonetatl"	"Castillejos de Montefrío"	55	"Ua-36215"	-3.956817	37.33528	"EN"	-5272	55	"BSk"
"neonet"	"Cecima"	58	"OxA-19803"	9.7834	44.8334	"EN"	-5217	58	"Cfa"
"neonet"	"Coro Trasito"	69	"CNA-2944.1.1"	0.177973	42.595563	"EN"	-5259	69	"Dsb"
"neonet"	"Correge-Leucate"	70	"Beta-398929"	3.0507	42.8958	"EN"	-5268	70	NA
"neonet"	"Cova Font Major"	75	"Beta-317705"	1.102753	41.398513	"EN"	-5269	75	"Csa"
"neonet"	"Cova del Vidre"	88	"OxA-26065"	0.318547	40.857133	"EN"	-5240	88	"Csa"
"neonet"	"Cova dels Trocs"	89	"MAMS-16159"	0.545612	42.452256	"EN"	-5261	89	"Csb"
"neonet"	"Cueva Hostal Guadalupe"	92	"Wk-25169"	-4.501909	36.6249	"EN"	-5260	92	"Csa"
"neonetatl"	"Cueva de Malalmuerzo"	99	"CNA-1127"	-3.789974	37.34301	"EN"	-5263	99	"BSk"
"neonetatl"	"Cueva de la Dehesilla"	101	"UGRA-259"	-5.659356	36.67306	"EN"	-5212	101	"Csa"
"neonetatl"	"Cueva de los Murciélagos de Zuheros"	106	"GrN-6926"	-4.304	37.542	"EN"	-5263	106	"Csa"
"neonet"	"Cueva del Gato"	108	"GrA-22535"	-1.268396	41.582209	"EN"	-5202	108	"BSk"
"neonet"	"Cueva del Toro"	110	"GrN-15433"	-4.538341	36.952892	"EN"	-5288	110	"Csa"
"calpal"	"Danilo-Bitinj"	111	"OxA-14449"	15.99	43.7	"EN"	-5259	111	"Cfa"
"neonet"	"Fornace Cappuccini"	130	"Bln-3372"	11.872712	44.283427	"EN"	-5289	130	"Cfa"
"neonet"	"Grande Rivoire"	138	"Ly-11554(SacA-39071)"	5.644342	45.221564	"EN"	-5249	138	"Cfb"
"neonet"	"Hundidero-Gato"	148	"CNA-1132"	-5.242685	36.727487	"EN"	-5248	148	"Csa"
"calpal"	"Krivače"	153	"PSU-5613"	15.84	43.86	"EN"	-5264	153	"Cfa"
"neonet"	"Lombard"	169	"Ly-4156(SacA-7413)"	6.8501	43.7	"EN"	-5261	169	"Cfb"
"neonet"	"Marcianese"	178	"BM-2250"	14.382237	42.208409	"EN"	-5258	178	"Cfa"
"neonet"	"Mas de Vignoles"	181	"Erl-11786"	4.363	43.811	"EN"	-5263	181	"Csa"
"neonet"	"Mourre de la Barque"	193	"ETH-26417"	5.663	43.655	"EN"	-5270	193	"Csa"
"neonet"	"Petites Baties"	209	"Beta-103862"	4.702349	44.298495	"EN"	-5260	209	"Csa"
"neonet"	"Pizzo di Bodio"	213	"B-5090"	8.736806	45.80328	"EN"	-5286	213	"Cfa"
"neonet"	"Ripabianca di Monterado"	234	"R-599a"	13.094373	43.714568	"EN"	-5217	234	"Cfa"
"neonet"	"Ripoli"	235	"LTL-12738A"	13.890995	42.827294	"EN"	-5211	235	"Cfa"
"neonet"	"Roca Chica"	237	"Ua-34135"	-4.501909	36.6249	"EN"	-5260	237	"Csa"
"neonet"	"San Marco"	242	"LTL-1727a"	15.6414	41.7118	"EN"	-5255	242	"Cfa"
"neonet"	"Savignano sul Panaro"	254	"LTL-5250a"	11.04242	44.476479	"EN"	-5297	254	"Cfb"
"neonetatl"	"São Pedro de Canaferrim"	265	"OxA-24906"	-9.4376	38.7385	"EN"	-5251	265	"Csa"
"neonet"	"Tai"	266	"GrA-25627"	4.54302	43.94283	"EN"	-5259	266	"Csa"
"neonet"	"Turo de Can Bellsola"	272	"AA-19187"	2.179214	41.535439	"EN"	-5204	272	"Cfa"
