"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"Abri des Castelli"	3	"Beta-332596"	9.033342	42.255492	"EN"	-5588	3	"Csb"
"neonet"	"Abric de la Falguera"	4	"Beta-142289"	-0.5881	38.6662	"EN"	-5462	4	"BSk"
"neonet"	"Abrigo de Mendandia"	12	"GrN-22741"	-2.596431	42.717506	"EN"	-5500	12	"Csb"
"neonetatl"	"Almonda (Galeria da Cisterna)"	18	"OxA-9287"	-8.3648	39.3013	"EN"	-5411	18	"Csa"
"neonet"	"Arma dello Stefanin"	20	"Bln-3276"	8.0021	44.1044	"EN"	-5549	20	"Cfa"
"neonet"	"Arma di Nasino"	21	"R-313"	8.03115	44.112705	"EN"	-5390	21	"Cfa"
"neonet"	"Balma Margineda"	24	"Beta-398960"	1.487	42.4824	"EN"	-5598	24	"Csb"
"neonet"	"Baratin"	25	"Ly-4725"	4.8526	44.09385	"EN"	-5328	25	"Csa"
"agrichange"	"Blachettes Sud"	26	"Ly-2794"	0.503886111	40.82166667	"EN"	-5354	26	"Csa"
"agrichange"	"Bonica"	27	"OxA-23440"	1.932166	41.387861	"EN"	-5633	27	"Csa"
"neonetatl"	"Cabranosa"	31	"Sac-1321"	-8.9666	37.0471	"EN"	-5812	31	"Csa"
"neonetatl"	"Caldeirão"	32	"Wk-38578"	-8.2454	39.3854	"EN"	-5416	32	"Csa"
"bda"	"Can Roqueta"	35	"Beta-x1"	2.103195	41.547773	"EN"	-5374	35	"Cfa"
"agrichange"	"Can Roqueta II"	36	"Beta-189076"	2.13049975470855	41.539613	"EN"	-5374	36	"Cfa"
"neonet"	"Can Sadurni"	37	"OxA-15488"	1.912258	41.345381	"EN"	-5400	37	"Csa"
"neonet"	"Cap Ragnon"	39	"Ly-4173(SacA-7430)"	5.25	43.367	"EN"	-5420	39	NA
"neonetatl"	"Casa Montero"	41	"Beta-206512"	-3.526404	40.40427	"EN"	-5386	41	"BSk"
"neonetatl"	"Clos des Poujol"	49	"Ly-2670 (GrA)"	3.0636	44.38473	"EN"	-5542	49	"Cfb"
"neonet"	"Correge-Leucate"	52	"MC-788"	3.0507	42.8958	"EN"	-5697	52	NA
"neonetatl"	"Correio-Mor"	53	"ICEN-1099"	-9.1137	38.4936	"EN"	-5324	53	NA
"neonet"	"Cova Fosca"	59	"Beta-149009"	-0.13224	40.45999	"EN"	-5363	59	"Csa"
"neonet"	"Cova Fosca Vall Ebo"	60	"OxA-26047"	-0.163287	38.800601	"EN"	-5391	60	"BSk"
"neonet"	"Cova Freda de Montserrat"	61	"Beta-508800"	1.832708	41.57355	"EN"	-5385	61	"Csa"
"neonet"	"Cova Gran de Montserrat"	63	"Beta-508799"	1.831669	41.573736	"EN"	-5350	63	"Csa"
"calpal"	"Cova de l'Or"	65	"Beta-136677"	-0.364154	38.84465	"EN"	-5787	65	"BSk"
"neonet"	"Cova de la Sarsa"	67	"OxA-26076"	-0.58196	38.756766	"EN"	-5434	67	"BSk"
"neonet"	"Cova de les Cendres"	68	"Beta-75220"	0.152631	38.685691	"EN"	-5642	68	NA
"neonet"	"Cova del Toll"	70	"OxA-26071"	2.150441	41.805629	"EN"	-5361	70	"Cfa"
"neonet"	"Cova en Pardo"	73	"Beta-231880"	-0.297931	38.814485	"EN"	-5580	73	"BSk"
"neonet"	"Cueva Lobrica"	77	"CNA-4611.1.1"	0.100692	42.515372	"EN"	-5386	77	"Dsb"
"neonetatl"	"Cueva de Carigüela"	79	"Beta-141150"	-3.431582	37.44239	"EN"	-5796	79	"Csa"
"neonet"	"Cueva de Chaves"	80	"GrN-12683"	-0.15	42.2255	"EN"	-5575	80	"Csa"
"neonetatl"	"Cueva de La Vaquera"	81	"GrA-9226"	-4.060954	41.08505	"EN"	-5407	81	"BSk"
