"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"calpal"	"Sabi Abyad II"	83	"GrN-21319"	39.1	36.52	"EN"	-7560	83	"Csa"
"calpal"	"Seker al-Aheimar"	85	"MTC-04347"	40.29	36.66	"EN"	-7031	85	"BSk"
"calpal"	"Shillourokambos"	86	"Ly-290"	33.15639	34.75278	"EN"	-8550	86	"Csa"
"brami15"	"Suberde"	88	"OS-62227"	31.93	37.35	"EN"	-7309	88	"Dsa"
"calpal"	"Tell 'Abr"	90	"Ly-5235"	38.0864	36.6819	"EN"	-9239	90	"Csa"
"calpal"	"Tell el-Sinn"	91	"GrN-9833"	40.35	35.27	"EN"	-7662	91	"BWh"
"calpal"	"WF 16"	94	"Beta-192521"	35.5	30.62	"EN"	-10596	94	"BSk"
"calpal"	"Wadi Shu'eib"	95	"Beta-35081"	35.69	31.94	"EN"	-7655	95	"BSk"
"calpal"	"Yiftahel"	97	"Pta-4242"	35.18	32.71	"EN"	-8008	97	"Csa"
"calpal"	"Zahrat adh-Drah 2"	99	"Wk-9633"	35.5663	31.2554	"EN"	-9012	99	"BSk"
