"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"Font-Juvenal"	126	"Gif-7029"	2.342367	43.29709	"EN"	-5374	126	"Cfa"
"neonet"	"Font-des-Pigeons"	127	"MC-2515"	5.1667	43.3834	"EN"	-5792	127	NA
"neonet"	"Fontbregoua"	128	"Gif-2990"	6.23231	43.5637	"EN"	-5616	128	"Cfb"
"bda"	"Forcas II"	129	"Beta-247405"	0.3402435	42.184362	"EN"	-5652	129	"Csa"
"neonet"	"Gazel"	133	"GrN-6702"	2.421154	43.325325	"EN"	-5795	133	"Cfa"
"bda"	"Gritulu"	136	"LYON-824"	9.425046	42.89037	"EN"	-5723	136	NA
"neonet"	"Grotta Corbeddu"	137	"UtC-1251"	9.48634	40.255253	"EN"	-5605	137	"Csa"
"neonet"	"Grotta Filiestru"	138	"Q-3020"	8.651545	40.453804	"EN"	-5625	138	"Csa"
"neonet"	"Grotta Mora Cavorso"	139	"Ly-3504"	13.169183	41.888384	"EN"	-5379	139	"Csa"
"neonet"	"Guixeres de Vilobi"	143	"OxA-26068"	1.665863	41.382693	"EN"	-5577	143	"Csa"
"bda"	"Kaf Taht El-Ghar (KTG)"	147	"Ly-971 OXA"	-5.42799479	35.5068513	"EN"	-5320	147	NA
"medafricarbon"	"Kaf Taht el Ghar"	148	"Beta-409693"	-5.431	35.4965	"EN"	-5385	148	"Csa"
"neonet"	"Kargadur"	149	"OxA-21092"	13.950637	44.819147	"EN"	-5671	149	NA
"neonet"	"Kronio"	150	"LTL-211A"	13.08	37.51	"EN"	-5870	150	"BSk"
"neonet"	"La Draga"	152	"UBAR-314"	2.758536	42.126877	"EN"	-5380	152	"Cfa"
"neonet"	"La Lampara"	153	"KIA-16579"	-2.512798	41.190069	"EN"	-5548	153	"Csa"
"neonet"	"La Marmotta"	154	"R-2360"	12.2745	42.1044	"EN"	-5740	154	"Csa"
"neonet"	"La Resclauze"	155	"MC-1227"	3.2667	43.5	"EN"	-5407	155	"Csa"
"neonetatl"	"Lapiás das Lameiras"	157	"OxA-29109"	-9.343528	38.84653	"EN"	-5426	157	"Csa"
"neonet"	"Le Secche"	159	"LTL-16672A"	10.882	42.381891	"EN"	-5671	159	NA
"neonet"	"Los Cascajos"	163	"Ua-24428"	-2.1892	42.5373	"EN"	-5406	163	"Csb"
"neonet"	"Lugo di Romagna"	164	"LTL-13471A"	11.901914	44.464184	"EN"	-5306	164	"Cfa"
"neonet"	"Maddalena di Muccia"	166	"R-643a"	13.059873	43.073523	"EN"	-5530	166	"Cfa"
"neonet"	"Mas Is"	168	"Beta-162092"	-0.582689	38.760273	"EN"	-5543	168	"BSk"
"neonet"	"Montclus"	173	"KN-1181"	4.43047	44.26473	"EN"	-5567	173	"Cfa"
"neonet"	"Monte Venere"	174	"R-1175"	12.1814	42.3505	"EN"	-5826	174	"Csa"
"bda"	"Mora Cavorso"	175	"Lyon-3504"	13.169183	41.888384	"EN"	-5379	175	"Csa"
"neonet"	"Oullins"	182	"ETH-27972"	4.456943	44.342326	"EN"	-5463	182	"Cfa"
