"Country"	"SiteName"	"Period"	"PhaseCode"	"Longitude"	"Latitude"	"tpq"	"taq"	"LabCode"	"C14Age"	"C14SD"	"Material"	"mat.life"	"bib"	"bib_url"
"France"	"Abri Pendimoun"	"EN"	"US 19000"	7.505944	43.812212	-5222	-5612	"LTL-14104A"	6466	40	"wood charcoal"	"long life"	"Binder et al. 2018"	"https://doi.org/10.4312/dp.44.4"
"Italy"	"Le Mose"	"LN"	"Burial 01"	9.695142	45.053774	-4249	-4795	"LTL-1528a"	5658	75	"bone (human)"	"short life"	"Facchinetti 2012"	"Facchinetti12"
"Croatia"	"Crno Vrilo"	"EN"	"A\IA\sterile (lower part)"	15.072992	44.528388	-4852	-5709	"Z-3398 "	6400	110	"fauna"	"short life"	"Kacar 2019"	"https://doi.org/10.4312/dp.46.22"
"Spain"	"Abrigo de Aizpea"	"LM"	"III"	-1.26053	42.946502	-5005	-5612	"GrN-18421"	6370	70	"fauna"	"short life"	"BarandiarÃ¡n 1997"	"Barandiaran97"
"Italy"	"Sammardenchia"	"EN"	"Structure 126; Q:R01, layer 1"	13.231355	45.975305	-4540	-5201	"R-3140"	5929	58	"wood charcoal"	"long life"	"Mazzucco et al. 2020"	"https://doi.org/10.1371/journal.pone.0232455.s002"
"Spain"	"Abrigo de Alonso Norte"	"EN"	"n/a"	-0.163268	41.057848	-4798	-5207	"D-AMS-018640"	6069	27	"wood charcoal"	"long life"	"Laborda et al. 2017"	"Laborda17"
"Italy"	"Grotta Filiestru"	"EN"	"B9"	8.651545	40.453804	-4538	-5002	"Q-3025"	5900	50	"wood charcoal"	"long life"	"Trump 1983"	"Trump83"
"Spain"	"Abrigo de Los Husos II"	"MN"	"Layer V"	-2.503877	42.613569	-3955	-4329	"Beta-208850"	5280	40	"n/a"	"others"	"Alday et al. 2018"	"https://doi.org/10.1016/j.quascirev.2017.11.006"
"Spain"	"Abrigo de Forcas II"	"LMEN"	"Layer V"	0.3402435	42.184362	-5663	-5988	"Beta-60773"	6940	40	"wood charcoal"	"long life"	"GonzÃ¡lez-SampÃ©riz et al. 2009"	"https://doi.org/10.1016/j.yqres.2008.10.006"
"Italy"	"Grotte Le Macchie"	"EN"	"US 118"	17.2172	40.9945	-4495	-4946	"KIA-13413"	5864	47	"bone (human)"	"short life"	"Fiorentino et al. 2013"	"https://doi.org/10.1177/0959683613486942"
