period	culture	class
	Salpetrian Upper	
	Roucadourien	
	Epipalaeolithic	
Epipalaeolithic	Final Azilian	
Neolithic	Šulaveri-Šomutepe	
	Kotias	
Neolithic	LBK / SOB / MH	en
Neolithic	Südostbayerische MittelNeolithic (SOB)	
Neolithic	Trichterbecher-North Group	
	Hamburgian	
Epipalaeolithic	Late Palaeolithic / earliest Mesolithic      Ahrensburg	
Epipalaeolithic	Beuronian C?	
Epipalaeolithic	Epi Ahrensburgian	
Neolithic	Südostbayerisches Mittelneolithikum (SOB)	
Neolithic	Wartberg	
	LBK_EN	en
Neolithic	Trichterbecher-West Group	
Epipalaeolithic	Beuronien C ?	
Epipalaeolithic	Ahrensburgian	
Meso/Neo	Ertebølle	
Neolithic?	LBK?	en
Neolithic	Salzmünde	
Neolithic	Rössen	
Epipalaeolithic	Hamburgian	
Neolithic	Transition EBK/TBK	
Epipalaeolithic	Federmesser	
Epipalaelolithic		
Neolithic	SÃ¼dostbayerische MittelNeolithic (SOB)	
Neolithic	Hinkelstein	
Neolithic	Sesklo	
Neolithic?	FN/EBA	
Epipalaeolithic	Upper Palaeolithic (end)-Mesolithic (start)	
Neolithic	Vinča	
Neolithic	Initial Neolithic	
Palaeolithic	Sălcuţa IV?	
Bronze Age ?		
Early/Middle Neolithic		
Bronze Age	EH I	
Neolithic?	Final Neolithic ?	
Neolithic	LN I	
Neolithic ?		
Epipalaeolithic	Epipalaeolithic	
	Pre-Pottery?	
Epipalaeolithic	Initial Neolithic	
Epilalaeolithic	Final Mesolithic	
Epilalaeolithic/Neolithic mixed		
Neolithic	Later MN	
Neolithic	Earlier MN	
Neolithic	EN-Early MN	
Neolithic	LN I-Archaic	
Neolithic	MN	
Neolithic	Later MN-Earlier LN I	
Neolithic	EN II	
Mesolithic-Early Neolithic	Mesolithic-Early Neolithic	
Bronze Age?	EH II?	
Bronze Age?	EH II	
Bronze Age?	EH I (-II)?	
Bronze Age?	EH I (-II)	
Bronze Age?	EH III?	
Neolithic	LN II	
Neolithic	Middle Neolithic-Late Neolithic I (transition)	
Neolithic	EN II	
Bronze Age?		
Neolithic	MN-LN I (transition)	
Neolithic	Larissa	
Neolithic	prior to Late Neolithic II	
Neolithic	Neo. / MM	
	Doiranis 5;SID:1	
	Dagli 12;SID:3	
	Dagli 12;SID:5	
	Dagli 12;SID:6	
	Oraiokastrou 91;SID:9	
	Oraiokastrou 91;SID:10	
Neolithic	Neo. / SN	
Neo-Meso boundary?		
Neolithic?	pottery neolithic?	
Neolithic	Starçevo	
	LBK_Hungary_MN	en
	Starçevo	
Neolithic	Körös	
Neolithic	ALPc_MN	
	Starcevo	en
Neolithic	Eastern Linear Pottery	
Neolithic	Bükk	
Neolithic	Tisza	
Neolithic	Tiszadob	
Neolithic	Vinca	
Neolithic	Csöszhalom	
Neolithic	Early Tisza	
Neolithic	Szakalhat	
Neolithic	ALPc	
Chalcolithic	Tisza	
Chalcolithic	Halaf	
Neolithic	Halaf	
Neolithic	Hassuna	
Neolithic	Jarmo	
Neolithic	Mlefatian	
Neolithic	Nemrikian	
Chalcolithic	Obeid	
