period	culture	class
Flomborn	Linienbandkeramik	en
"""Epi-Bischheim"" = Dümmer Gruppe"	Bischheim	
6 (Baden-Württemberg)	Linienbandkeramik	en
4	Linienbandkeramik	en
Langweiler 1, Phase 2 (IIc)	Linienbandkeramik	en
Id (nach Modderman)	Linienbandkeramik	en
jüngere LBK (IId)	Linienbandkeramik	en
IIc (nach Modderman)	Linienbandkeramik	en
späte LBK (Phase IIa-c der böhmischen LBK)	Linienbandkeramik	en
EBK?/TBK	Übergang EBK/TBK	
II	Hinkelstein	
Brindley 3	Trichterbecher-Westgruppe	
II	Karanovo culture	
Älter	Vinča culture	
middle	Butmir Culture	
Sesklo, Tsangli	Neolithikum	en
Alföld-LBK. jüngere	Linienbandkeramik	en
	Group de Villeneuve-Saint-Germain	
	Bronzezeit	
Sárka-Stufe (Übergang LBK - Stichbandkeramik)	Linienbandkeramik	en
= terminus post quem für Salzmünde	Salzmünde	
späte LBK/Notenkopfkeramik	Linienbandkeramik	en
Ende Phase II	Linienbandkeramik	en
erster Abschnitt Periode III	Linienbandkeramik	en
III nach Meier-Arendt (1966)	Linienbandkeramik	en
	Altheim	
jüngste niederländische LBK (IId)	Linienbandkeramik	en
Phase IId	Linienbandkeramik	en
späte LBK (Sárka-Typ); Phase IIa-c der böhm. LBK	Linienbandkeramik	en
Notenkopfphase der entwickelteren LBK	Linienbandkeramik	en
Phase IIa	Linienbandkeramik	en
Langweiler 2, Phase 1	Linienbandkeramik	en
jüngere LBK (IId nach Modderman)	Linienbandkeramik	en
IIa1 (nach Modderman)	Linienbandkeramik	en
IIa2 (nach Modderman)	Linienbandkeramik	en
Phase IV (bzw. V) der böhmischen LBK	Linienbandkeramik	en
Notenkopf/Zeliezovce	Linienbandkeramik	en
Beginn d. mährisch-österr. bemalten Keramik	Lengyel	
Stichband/Oberlauterbach	Stichbandkeramik	
early	Bükker Kultur	
Alföld-LBK. späte	Linienbandkeramik	en
Ic-d	Lepenski Vir	
VI	Karanovo culture	
IV	Karanovo culture	
	Middle Neolithic (later)	
	Middle Neolithic (earlier)	
	Early Neolithic (late)-Middle Neolithic (early)	
	Late Neolithic I	
	Late Neolithic I-Archaic	
	Middle Neolithic (later)-Late Neolithic I (earlier)	
	Final Mesolithic	
Phase II		
Phase I		
Sitagoi I	Middle Neolithic	
Sitagoi I	Neolithic	
Sitagoi II	Neolithic	
	Middle Neolithic (early)	
Phase X	Early Neolithic	en
Phase V	Early Neolithic	en
Phase V	Early Neolithic I	en
	Early Neolithic I	en
Larissa ware	Late Neolithic	
Phase IX	Early Neolithic	en
Phase VI	Early Neolithic	en
Phase X	Aceramic/Early Neolithic	en
Phase IX/X	Early Neolithic	en
	Early Neolithic II	en
	Mesolithic (end)	ln
	Pre-Pottery Neolithic?	
Makri A	Middle Neolithic	mn
	Mesolithic	
	Upper Palaeolithic-Mesolithic	
	Upper Palaeolithic (end)-Mesolithic (start)	
	pre-Late Neolithic II	
	Middle Neolithic-Late Neolithic I (transition)	
	Early Neolithic-Middle Neolithic (early)	
	Mesolithic-Neolithic	
	Upper Mesolithic	lm
	Lower Mesolithic	
Phase IV/VI	Neolithic	
	Mesolithic/Pottery Neolithic?	
Dikili Tash I/Iic	Late Neolithic	
Makri B	Middle Neolithic	mn
Makri C	Late Neolithic	ln
Dikili Tash I	Middle Neolithic	mn
Dikili Tash I		
	Epipalaeolithic/Neolithic (Final Mesolithic/Initial Neolithic mixed)	
	Final Mesolithic-Initial Neolithic	
Ph. X	Initial Neolithic	em
Ph. IX	Final Mesolithic	lm
	Epigravettian	
	Early Neolithic II/III	en
	Early Neolithic III	en
Makri I	Middle Neolithic	
	Aceramic;Early Neolithic	en
	Early Neolithic I-II	
Avgi I	Middle-Late Neolithic	
	Early Neolithic/Middle Neolithic	
	Boreal phase (end)	
	Late Glacial/Postglacial	
Phase Iva	Neolithic	
Phase IIIb	Neolithic	
Phase IIa	Early Neolithic	
Phase Ib	Early Neolithic	
Nea Nikomedeia I	Early Neolithic I	
	Early Neolithic I/II	
Phase I	Late Neolithic	
Phase III	Neolithic	
Mandalo II	Final Neolithic	
FCP 2.5	Middle-Late Neolithic	
Phase VI	Epipalaeolithic	
	BC	
	Middle-Late Neolithic	
Phase IIIc/Ivb	Neolithic	
Phase IIIa1	Neolithic	
Phase IIIa2	Neolithic	
Phase IIIc	Neolithic	
Phase Iib	Neolithic	
Phase IIb	Early Neolithic	
Phase IIIa1/Iva	Neolithic	
Phase IIIc/Iva	Neolithic	
Phase IIa/b?	Neolithic	
Phase I	Early Neolithic	
Phase Ib?	Early Neolithic	
Phase Ia/Ib?	Early Neolithic	
Dikili Tash IIIa	Early Helladic I	
Dikili Tash II	Chalcolithic	
	Final Neolithic?	
	Holocene	
	Early/Middle Neolithic	
Dikili Tash II	Late Neolithic II	
	Early Neolithic (late)	
	Late Neolithic II	
	Late Minoan II	
	Aceramic	en
	Early Cycladic III	
	Early Helladic II early (middle)	
	Early Helladic II (early)	
	Early Helladic II (late)	
	Early Helladic II (early-middle)	
	Early Helladic I (-II)	
	Upper Palaeolithic	
Atttic Kephala;Zas Iia	Final Neolithic	
Saliagos		
Ph. VIII/IX	Epipalaeolithic-Mesolithic	
FCP 2.2	Middle Neolithic	
Ph. VIII	Upper Mesolithic	
Ph. VII	Mesolithic	
	Epipalaeolithic-Mesolithic	
	Epipalaeolithic-Upper Mesolithic	
FCP 1	Early Neolithic	
Ph. IX	Late/Final Mesolithic	
Ph. X	Late Mesolithic/Initial Neolithic	
Ph. IX	Mesolithic	
FCP 2.3	Middle/Late Neolithic	
FCP 4	Late Neolithic	
FCP 4	Late Neolithic I	
FCP 3	Late Neolithic	
Ph. VIII	Mesolithic	
FCP 1	Early/Middle Neolithic	
	Early Neolithic/Pre-Ceramic?	
FCP 2.2	Early/Middle Neolithic	
FCP 2.3-2.4	Middle Neolithic	
FCP 1	Early Neolithic (late)	
Ph. IX/X	Final Mesolithic-Initial Neolithic	
Ph. VII/VIII	Mesolithic	
Ph. VII	Lower Mesolithic	
Phase IIa	Early Neolithic II	
Phase Ia/Ib?	Early Neolithic II	
Phase IIb/IIIa?	Middle Neolithic	
Phase IIIa2/b	Middle Neolithic	
Phase IIIb	Early/Middle Neolithic	
Phase IIIb	Middle Neolithic	
Phase IIIa/c	Middle Neolithic	
Phase 2	Early/Middle Neolithic	
Phase IIIb/Ivb	Middle Neolithic	
Ph. VI/VII	Mesolithic	
	Upper Palaeolithic (late)	
FCP 3	Middle Neolithic	
FCP 3	Middle/Late Neolithic	
	Early Helladic III (middle)	
	Initial Neolithic	
Phase IVb		
Phase Ia/Ib?		
	Late Bronze Age	
	Late Glacial	
	Middle Neolithic-Late Neolithic	
