"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
NA NA NA NA NA NA NA -6073.45552536554 -6058.52238330667 -6043.58924124781 -6028.65609918894 -6006.00372286812 -5978.07029329222 -5950.13686371632 -5905.53835618468 -5791.59111797396 -5720.14884068922 -5648.70656340448 -5577.26428611974 -5505.822008835 -5389.83527926135 -5219.51874464411 -5959.78792417043 -6318.81014167372 -5524.86980721512 -5687.30462435433 -5911.57818530861 -5636.43956682311 -5573.79243195255 -5237.70147524575 -5260.0974894491 -5312.6951610957 -5559.63374363988 -5324.25707316307 -5482.27922339819 -6100.15106583603 -5450.76132380996 -5407.35667077217 -5818.29480648979 NA
NA NA NA NA NA NA NA -6136.45980993609 -6121.52666787722 -6106.59352581836 -6091.6603837595 -6069.38342571644 -6041.44999614054 -6013.51656656464 -5930.79832238514 -5795.64692415236 -5724.20464686762 -5743.45428430535 -5766.08792844051 -5788.33085042097 -5808.15096619124 -5765.7628047957 -5706.86643047883 -5605.27868228829 -5392.64378794944 -5550.43556092569 -5447.49162061113 -5347.58824362342 -5242.68335706203 -5234.28518611764 -5097.00137746892 -5353.34106086568 -5562.32507276567 -5521.71677633564 -6175.85878832791 -5984.13689764113 -5615.45955968771 -5358.84845851294 -5577.1152484917 NA
NA NA NA NA NA NA -6214.3972365655 -6199.46409450664 -6184.53095244778 -6169.59781038891 -6154.66466833005 -6132.76312856476 -6104.82969898886 -6076.89626941296 -5956.05828858561 -5770.15953568302 -5896.30387024218 -6048.80171305987 -6071.43535719504 -6092.29598684052 -6023.27048941835 -5944.72690622864 -5866.18332303892 -5803.02691651787 -5586.14629754642 -5323.49616320958 -5402.24414463423 -5458.49417184287 -5621.09492829397 -5369.81569312985 -5851.04894397772 -5547.72505230574 -5246.89381388164 -5339.90338413087 -5283.35195198851 -5235.34004192375 -5265.32043960994 -5458.40958718938 -5335.93569049361 NA
NA NA NA NA NA NA -6277.40152113606 -6262.46837907719 -6247.53523701833 -6232.60209495946 -6217.6689529006 -6196.14283141308 -6168.20940183718 -6125.55813214968 -5981.31825478607 -5737.75237733096 -5481.26711839939 -5846.57791579705 -6359.32175723071 -6224.56504521618 -6087.20478182356 -5949.84451843094 -5812.48425503833 -5675.12399164571 -5695.28572668081 -5537.06568386532 -5501.91185061061 -5831.68673813083 -5795.07498542175 -5709.26793154614 -5735.15283595241 -5440.58152666608 -5379.49612479537 -5458.88757298934 -5415.86403209854 -5375.05459244546 -5212.51695083288 -5230.42248829508 -5514.44597866873 NA
NA NA NA NA NA NA -6340.40580570661 -6325.47266364774 -6310.53952158888 -6295.60637953002 -6280.67323747115 -6259.5225342614 -6231.5891046855 -6150.81809835014 -5961.83047791046 -5705.34521897889 -5448.85996004733 -5349.6734987975 -6111.64081947939 -6264.47317816165 -6241.89058396082 -6133.92259009033 -6025.95459621984 -5811.66002885588 -5509.69356662384 -5317.04879511547 -5492.2974373727 -5657.35243166643 -5406.25454045223 -5013.30247432351 -5163.05809130678 -5224.27444355785 -5267.08094459593 -5434.5122791696 -5643.03495009919 -5589.07795123212 -5818.14359484601 -5582.7964120991 -5305.30665966147 NA
NA NA NA NA NA -6418.34323233602 -6403.41009027716 -6388.4769482183 -6373.54380615943 -6358.61066410057 -6343.67752204171 -6322.90223710972 -6294.96880753382 -6176.0780645506 -5929.42331955839 -5672.93806062683 -5569.61611090225 -5549.89201983461 -5804.2675272266 -6069.75052835156 -6146.33239716805 -6222.91426598455 -6017.97446932669 -5442.16555654004 -5440.71027842004 -5426.6286205889 -6097.96849394396 -6236.93545649042 -5877.30073912359 -5345.61248730892 -5269.73143371238 -5402.1541574327 -5639.8167175073 -5364.20991069698 -5759.46243396674 -5580.58294495678 -5552.51329785664 -5443.13499462591 -5388.27597795336 NA
NA NA NA NA NA -6481.34751690658 -6466.41437484771 -6451.48123278885 -6436.54809072999 -6421.61494867112 -6406.68180661226 -6386.28193995804 -6345.57790811467 -6153.5014201379 -5897.01616120633 -5793.2997603759 -5773.57566930827 -5756.36081803606 -5723.91693738955 -5607.03163238629 -5813.88320176905 -6045.82641080679 -6101.50657652642 -6191.27569124894 -6048.26439702922 -6041.54016984822 -6056.31218916797 -5838.82373542529 -5635.71343405341 -5432.60313268153 -5470.50657926571 -5277.68436180768 -5219.29942450629 -5450.76983006393 -5512.772354501 -5348.8406439598 -5610.72665412482 -5555.86763745227 -5501.00862077972 NA
NA NA NA NA NA -6544.35180147713 -6529.41865941827 -6514.4855173594 -6499.55237530054 -6484.61923324167 -6469.68609118281 -6449.66164280636 -6370.83787431513 -6121.09426178583 -6016.98340984956 -5997.7250036983 -5982.82784776791 -5967.93069183751 -5931.15738897178 -5879.53037680604 -5917.87602837729 -6082.46670707005 -6189.77056733971 -6275.58175021312 -6111.85075880036 -6144.52519796203 -6213.68345247702 -6302.17673628741 -6296.72286880837 -5412.66518813645 -5219.84002916664 -5249.29976457565 -5554.58776013828 -5671.08740405546 -5774.89758185124 -5671.26178640756 -5772.12418406388 -5953.86412194789 -5429.66599265638 NA
NA NA NA NA -6622.28922810655 -6607.35608604768 -6592.42294398882 -6577.48980192995 -6562.55665987109 -6547.62351781223 -6532.69037575336 -6513.04134565468 -6345.17236236533 -6240.66705932322 -6224.19203343015 -6209.29487749975 -6194.39772156935 -6179.50056563896 -6138.39784055401 -6083.82237348479 -6063.32696424903 -6321.78590323262 -6139.21627122929 -5956.64663922597 -5774.07700722265 -5840.16911780367 -5807.83348802373 -5231.72476945852 -5933.07938773503 -5696.33363035753 -5401.12572611986 -5265.20980502162 -5308.35806480275 -5503.37922396751 -5644.77907695171 -5499.91391873027 -5258.23784815635 -5104.45808388109 -5331.42953243648 NA
NA NA NA NA -6685.2935126771 -6670.36037061823 -6655.42722855937 -6640.49408650051 -6625.56094444164 -6610.62780238278 -6595.69466032392 -6565.59768407966 -6465.55621909239 -6450.65906316199 -6435.7619072316 -6420.8647513012 -6405.9675953708 -6391.0704394404 -6345.63829213624 -6318.02992024646 -6583.6784783686 -6408.87065090476 -6077.08198990818 -5757.25552189333 -5437.42905387848 -5941.51047102235 -6068.36780554504 -5516.1487870688 -5732.22601934282 -5806.64553794473 -5476.15894339752 -5462.65692101019 -5631.16346565941 -5542.32861348877 -5411.71280968355 -5404.99861021645 -5251.21884594119 -5495.30870268381 NA NA
NA NA NA -6763.23093930651 -6748.29779724765 -6733.36465518879 -6718.43151312992 -6703.49837107106 -6688.5652290122 -6673.63208695333 -6658.69894489447 -6693.12940141136 -6754.81775432012 -6829.87419798558 -6749.45405134438 -6632.43462510265 -6617.53746917225 -6602.64031324185 -6553.72374764832 -6401.78727727252 -7060.91337622293 -6359.20247161084 -6311.27018840391 -5867.91278284504 -5657.12997652155 -5673.49831858958 -5460.53685736793 -6342.35379691496 -5806.09375446442 -5453.45034201257 -5688.0506529859 -5487.58178552575 -5337.37261979785 -5577.3410874002 -5486.66671294305 -5407.19250600209 -5486.61907095052 NA NA NA
NA NA NA -6826.23522387707 -6811.3020818182 -6796.36893975934 -6781.43579770047 -6766.50265564161 -6751.56951358275 -6688.9199737375 -6399.55854425608 -6853.67836207191 -6895.00387038312 -6934.24931642213 -6991.66119525035 -7066.71763891581 -7054.34119374575 -7049.5536421226 -6944.71587948143 -6839.87811684025 -6735.04035419908 -6615.96004955758 -6309.04069828392 -5666.53478656867 -5329.61618765697 -5446.44297999206 -5563.26977232715 -5676.20895594426 -5842.39157663728 -5832.83869024395 -5403.35055065869 -5490.22038109363 -5577.09021152857 -5663.96004196352 -5639.00994918551 -5605.16357815302 -5522.32621173055 NA NA NA
NA NA NA -6889.23950844762 -6874.30636638876 -6859.37322432989 -6844.44008227103 -6829.50694021216 -6634.79449085283 -6267.29544135662 -6664.57515788337 -7014.22732273246 -7055.55283104367 -7096.87833935488 -7137.12965909433 -6950.93634977184 -6805.40210275103 -6669.81009872591 -6534.21809470079 -6398.62609067568 -6263.03408665056 -6127.44208262544 -5991.85007860032 -5862.05384981277 -6024.68191217008 -5972.87053199369 -5509.64442650502 -5651.79368293215 -6015.37398105778 -5707.18437415103 -5335.4985356097 -5358.87871016648 -5382.25888472325 -5405.63905928003 -5429.01923383681 -5452.39940839358 NA NA NA NA
NA NA -6967.17693507703 -6952.24379301817 -6937.31065095931 -6922.37750890044 -6907.44436684158 -6580.66900796816 -6213.16995847195 -6084.34638937057 -6929.59177151064 -7174.77628339301 -7216.10179170422 -7255.53527894952 -7284.45131901112 -7227.82677844972 -7033.7414162569 -6839.65605406408 -6645.57069187126 -6451.48532967843 -6257.39996748561 -6063.31460529279 -5869.22924309997 -5675.14388090715 -5644.69961700536 -5642.46173859749 -5457.71862399326 -5688.24322193844 -5897.19690121641 -5662.87951830789 -5462.55058355263 -5468.81231486972 -5539.98114378451 -5752.90425383978 NA NA NA NA NA NA
